CODUSU;TRIM;ANO4;AGLOMERADO;NRO_HOGAR;PROVINCIA;ITF;IPCF;REALIZADA;PONDIH;II1;II2;II3;II3_1;II4_1;II4_2;II4_3;II5;II5_1;II6;II6_1;II7;II7_ESP;II8;II8_ESP;II9;V1;V2;V3;V4;V6;V7;V8;V9;V10;V12;V13;V14;V15;V16;V17;V18;V19_A;V19_B;IX_TOT;IX_MEN10;IX_MAYEQ10;IV1;IV1_ESP;IV2;IV3;IV3_ESP;IV4;IV5;IV6;IV7;IV7_ESP;IV8;IV9;IV10;IV11;IV12_1;IV12_2;IV12_3;VII1_1;VII1_2;VII2_1;VII2_2;VII2_3;VII2_4;PONDERA;V2_01;V21_01;V22_01;V2_02;V21_02;V22_02;V2_03;V21_03;V22_03;V5_01;V5_02;V5_03;V11_01;V11_02
TQRMNOQTUHJLKTCDEGKDB00886282;3;2025;14;1;30;800000;800000;1;180;2;1;2;0;1;2;1;2;0;2;0;1;;2;;1;2;1;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;1;;2;1;;4;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;126;1;2;2;2;2;2;2;2;2;2;2;2;2;2
TQRMNOQTVHJLKTCDEGKDB00884109;3;2025;14;1;30;1500000;750000;1;184;4;1;2;0;1;1;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;1;;4;1;;4;1;1;1;;1;1;1;1;2;2;2;1;0;2;0;0;0;90;0;2;2;0;2;2;0;2;2;2;2;2;2;2
TQRMNOSUWHJLKTCDEGKDB00866092;3;2025;14;1;30;1080000;270000;1;156;4;3;2;0;1;1;1;2;0;2;0;3;;1;;1;1;1;2;2;2;2;2;2;2;2;1;1;1;1;2;2;2;2;4;0;4;1;;4;1;;4;1;1;1;;1;1;1;1;2;2;2;3;0;4;0;0;0;98;2;2;2;2;2;2;1;2;2;2;2;2;2;2
TQRMNOSVTHJLKTCDEGKDB00871041;3;2025;14;1;30;0;0;1;0;3;1;2;0;1;1;1;2;0;2;0;1;;1;;1;2;1;2;2;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;1;0;2;0;0;0;116;1;1;1;2;2;2;2;2;2;2;2;2;2;2
TQRMNOPTQHMMKTCDEGKDB00890068;3;2025;14;1;30;1030000;515000;1;214;3;1;2;0;1;1;1;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;2;0;98;0;0;0;112;1;2;2;2;2;2;2;2;2;2;2;2;2;2
TQRMNOPTRHMMKTCDEGKDB00890799;3;2025;14;1;30;470000;470000;1;161;3;1;2;0;1;2;1;2;0;2;0;1;;1;;1;2;1;2;2;1;2;2;2;2;2;1;2;2;2;1;2;2;2;1;0;1;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;112;1;2;2;2;2;2;2;2;2;2;2;2;2;2
TQRMNOPTSHMMKTCDEGKDB00890219;3;2025;14;1;30;818000;136333.33;1;225;3;2;2;0;2;2;2;0;0;0;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;6;1;5;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;1;2;3;4;0;0;93;0;2;2;0;2;2;0;2;2;1;2;2;2;2
TQSMNOPTSHMMKTCDEGKDB00890800;3;2025;14;1;30;580000;116000;1;95;3;2;2;0;1;2;2;2;0;2;0;2;;2;;1;1;1;2;2;1;2;2;2;2;2;1;1;2;1;1;2;2;2;5;3;2;1;;3;2;;4;2;1;1;;1;1;1;1;2;2;2;2;0;98;0;0;0;94;2;2;2;2;2;2;1;1;2;1;2;2;2;2
TQTMNOPTSHMMKTCDEGKDB00889197;3;2025;14;1;30;0;0;1;0;1;1;2;0;2;2;2;0;0;0;0;6;;2;;4;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;1;;1;1;;4;1;1;1;;2;0;0;0;2;2;2;1;0;98;0;0;0;127;0;2;2;0;2;2;0;2;2;2;2;2;2;2
TQRMNOPTTHMMKTCDEGKDB00889245;3;2025;14;1;30;5000000;1250000;1;150;2;2;2;0;2;1;2;2;0;2;0;3;;2;;1;1;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;4;2;2;1;;2;1;;4;1;1;1;;1;1;1;1;2;2;2;1;2;98;0;0;0;92;0;2;2;0;2;2;0;2;2;2;2;2;2;2
TQRMNOQRVHMMKTCDEGKDB00888461;3;2025;14;1;30;540000;270000;1;179;4;2;2;0;1;2;2;2;0;2;0;1;;2;;1;2;1;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;1;;4;1;;4;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;111;1;2;2;2;2;2;2;2;2;2;2;2;2;2
TQRMNOQRWHMMKTCDEGKDB00888035;3;2025;14;1;30;0;0;1;0;5;3;2;0;1;1;1;2;0;2;0;1;;2;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;7;2;5;1;;5;1;;4;1;1;1;;1;1;1;1;2;2;2;1;2;3;4;0;0;101;1;2;2;2;2;2;2;2;2;1;2;2;2;2
TQRMNOQRXHMMKTCDEGKDB00888462;3;2025;14;1;30;0;0;1;0;3;3;2;0;2;1;1;2;0;2;0;3;;1;;1;1;2;2;2;2;2;1;2;2;2;2;2;1;1;1;2;2;2;6;0;6;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;2;0;3;5;0;0;90;0;2;2;0;2;2;0;2;2;2;2;2;2;2
TQRMNOQRYHMMKTCDEGKDB00888959;3;2025;14;1;30;2400000;800000;1;153;2;1;2;0;1;2;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;2;1;;2;1;;4;1;1;1;;1;1;1;1;2;2;2;2;0;1;0;0;0;87;0;2;2;0;2;2;0;2;2;2;2;2;2;2
TQRMNOPSRHKOKTCDEGKDB00890693;3;2025;14;1;30;1850000;616666.67;1;180;3;2;2;0;2;2;2;0;0;0;0;2;;2;;1;1;1;2;2;2;2;2;2;2;2;1;2;1;1;2;2;2;2;3;0;3;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;1;3;98;0;0;0;99;2;2;2;1;2;2;1;2;1;2;2;2;2;2
TQRMNOPSSHKOKTCDEGKDB00891133;3;2025;14;1;30;1160000;386666.67;1;225;3;2;2;0;2;1;1;2;0;2;0;2;;2;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;1;;3;1;;4;2;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;121;2;2;2;1;2;1;2;2;2;2;2;2;1;2
TQRMNOPTSHKOKTCDEGKDB00867524;3;2025;14;1;30;900000;300000;1;174;4;2;1;1;1;1;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;2;3;0;3;1;;4;1;;4;1;1;1;;1;1;1;2;2;1;2;1;0;2;3;0;0;91;0;2;2;0;2;2;0;2;2;2;2;2;2;2
TQRMNOPTTHKOKTCDEGKDB00867902;3;2025;14;2;30;2020000;336666.67;1;209;5;3;2;0;1;1;1;2;0;2;0;1;;2;;1;1;2;2;2;1;2;2;2;2;2;2;2;1;1;2;2;2;2;6;1;5;1;;5;1;;4;1;1;1;;1;1;1;3;2;1;2;2;0;1;0;0;0;111;0;2;2;0;2;2;0;2;2;2;2;2;2;2
TQRMNOQVRHKOKTCDEGKDB00868885;3;2025;14;1;30;1818000;363600;1;195;5;3;2;0;1;1;1;2;0;2;0;6;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;0;5;1;;5;1;;5;1;1;1;;1;1;1;1;2;2;2;2;0;98;0;0;0;105;0;2;2;0;2;2;0;2;2;1;2;2;1;2
TQRMNOQVTHKOKTCDEGKDB00873465;3;2025;14;1;30;1950000;650000;1;235;3;3;2;0;2;2;2;0;0;0;0;2;;2;;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;1;;3;1;;5;1;1;1;;1;1;1;1;2;2;1;1;0;2;0;0;0;126;0;2;2;0;2;2;0;2;2;1;2;2;2;2
TQRMNOQVUHKOKTCDEGKDB00868588;3;2025;14;1;30;350000;87500;1;122;2;2;2;0;1;2;2;2;0;2;0;6;;2;;1;2;2;2;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;4;1;3;1;;2;1;;4;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;112;0;2;2;0;2;2;0;2;2;1;2;2;2;2
